Регион	Месторождение	Площадь	Скважина	Координата X	Координата Y
Регион1	Месторождение1	Площадь1	1	17258.0	25889.0
Регион1	Месторождение1	Площадь1	2	17670.0	25889.0
Регион1	Месторождение1	Площадь1	3	18077.0	25893.0
Регион1	Месторождение1	Площадь1	4	18472.0	25888.0
Регион1	Месторождение1	Площадь1	5	18865.0	25886.0
Регион1	Месторождение1	Площадь1	6	19265.0	25893.0
Регион1	Месторождение1	Площадь1	7	19670.0	25888.0
Регион1	Месторождение1	Площадь1	8	20070.0	25884.0
Регион1	Месторождение1	Площадь1	9	20472.0	25895.0
Регион1	Месторождение1	Площадь1	10	20866.0	25889.0
Регион1	Месторождение1	Площадь1	11	21267.0	25897.0
Регион1	Месторождение1	Площадь1	12	17262.0	25495.0
Регион1	Месторождение1	Площадь1	13	17869.0	22884.0
Регион1	Месторождение1	Площадь1	14	18065.49	25494.62
Регион1	Месторождение1	Площадь1	15	18057.0	22684.0
Регион1	Месторождение1	Площадь1	16	18863.0	25489.0
Регион1	Месторождение1	Площадь1	17	18466.0	22684.0
Регион1	Месторождение1	Площадь1	18	19655.0	25484.0
Регион1	Месторождение1	Площадь1	19	18865.0	22684.0
Регион1	Месторождение1	Площадь1	20	20466.0	25490.0
Регион1	Месторождение1	Площадь1	21	19474.0	22884.0
Регион1	Месторождение1	Площадь1	22	21268.0	25488.0
Регион1	Месторождение1	Площадь1	23	17249.0	25091.0
Регион1	Месторождение1	Площадь1	24	17660.0	25112.0
Регион1	Месторождение1	Площадь1	25	18087.0	25090.0
Регион1	Месторождение1	Площадь1	26	18468.0	25069.0
Регион1	Месторождение1	Площадь1	27	18873.0	25089.0
Регион1	Месторождение1	Площадь1	28	19271.0	25080.0
Регион1	Месторождение1	Площадь1	29	19668.0	25088.0
Регион1	Месторождение1	Площадь1	30	20074.0	25049.0
Регион1	Месторождение1	Площадь1	31	20463.0	25084.0
Регион1	Месторождение1	Площадь1	32	20868.0	25092.0
Регион1	Месторождение1	Площадь1	33	21260.0	25080.0
Регион1	Месторождение1	Площадь1	34	17264.0	24681.0
Регион1	Месторождение1	Площадь1	35	19671.0	22684.0
Регион1	Месторождение1	Площадь1	36	18079.0	24666.0
Регион1	Месторождение1	Площадь1	37	20064.14	22684.0
Регион1	Месторождение1	Площадь1	38	18857.0	24686.0
Регион1	Месторождение1	Площадь1	39	20867.34	22684.0
Регион1	Месторождение1	Площадь1	40	19659.0	24689.0
Регион1	Месторождение1	Площадь1	41	21260.03	22684.0
Регион1	Месторождение1	Площадь1	42	20447.0	24685.0
Регион1	Месторождение1	Площадь1	43	17479.0	22884.0
Регион1	Месторождение1	Площадь1	44	21269.0	24687.0
Регион1	Месторождение1	Площадь1	45	17470.0	24486.0
Регион1	Месторождение1	Площадь1	46	17663.0	24294.0
Регион1	Месторождение1	Площадь1	47	18070.0	24283.0
Регион1	Месторождение1	Площадь1	48	18474.0	24285.0
Регион1	Месторождение1	Площадь1	49	18850.0	24290.0
Регион1	Месторождение1	Площадь1	50	19264.0	24289.0
Регион1	Месторождение1	Площадь1	51	19669.0	24287.0
Регион1	Месторождение1	Площадь1	52	20068.0	24297.0
Регион1	Месторождение1	Площадь1	53	20471.0	24282.0
Регион1	Месторождение1	Площадь1	54	20869.0	24287.0
Регион1	Месторождение1	Площадь1	55	21268.0	24285.0
Регион1	Месторождение1	Площадь1	56	17482.0	24094.0
Регион1	Месторождение1	Площадь1	57	17082.0	23484.0
Регион1	Месторождение1	Площадь1	58	18057.0	23892.0
Регион1	Месторождение1	Площадь1	59	18057.0	23084.0
Регион1	Месторождение1	Площадь1	60	18865.0	23883.0
Регион1	Месторождение1	Площадь1	61	19274.0	23895.0
Регион1	Месторождение1	Площадь1	62	19671.0	23893.0
Регион1	Месторождение1	Площадь1	63	20064.14	23879.99
Регион1	Месторождение1	Площадь1	64	20471.78	23881.4
Регион1	Месторождение1	Площадь1	65	18865.0	23084.0
Регион1	Месторождение1	Площадь1	66	21260.03	23884.32
Регион1	Месторождение1	Площадь1	67	17079.0	23298.0
Регион1	Месторождение1	Площадь1	68	17877.0	23680.0
Регион1	Месторождение1	Площадь1	69	18063.0	23492.0
Регион1	Месторождение1	Площадь1	70	18668.0	23691.0
Регион1	Месторождение1	Площадь1	71	19068.0	23681.0
Регион1	Месторождение1	Площадь1	72	19267.0	23485.0
Регион1	Месторождение1	Площадь1	73	19877.0	23697.0
Регион1	Месторождение1	Площадь1	74	20278.3	23682.63
Регион1	Месторождение1	Площадь1	75	20464.06	23486.76
