Месторождение	Площадь	Скважина	Объект	Значение
Месторождение 1	Площадь 1	1	Объект 2	0.5
Месторождение 1	Площадь 1	2	Объект 2	0.5
Месторождение 1	Площадь 1	6	Объект 2	0.5
Месторождение 1	Площадь 1	8	Объект 2	0.5
Месторождение 1	Площадь 1	9	Объект 2	0.5
Месторождение 1	Площадь 1	11	Объект 2	0.5
Месторождение 1	Площадь 1	13	Объект 2	0.5
Месторождение 1	Площадь 1	14	Объект 2	0.5
Месторождение 1	Площадь 1	15	Объект 2	0.6
Месторождение 1	Площадь 1	17	Объект 2	0.6
Месторождение 1	Площадь 1	18	Объект 2	0.5
Месторождение 1	Площадь 1	19	Объект 2	0.5
Месторождение 1	Площадь 1	21	Объект 2	0.5
Месторождение 1	Площадь 1	23	Объект 2	0.5
Месторождение 1	Площадь 1	25	Объект 2	0.5
Месторождение 1	Площадь 1	27	Объект 2	0.6
Месторождение 1	Площадь 1	30	Объект 2	0.5
Месторождение 1	Площадь 1	31	Объект 2	0.5
Месторождение 1	Площадь 1	33	Объект 2	0.5
Месторождение 1	Площадь 1	34	Объект 2	0.6
Месторождение 1	Площадь 1	35	Объект 2	0.6
Месторождение 1	Площадь 1	36	Объект 2	0.6
Месторождение 1	Площадь 1	40	Объект 2	0.5
Месторождение 1	Площадь 1	41	Объект 2	0.5
Месторождение 1	Площадь 1	42	Объект 2	0.6
Месторождение 1	Площадь 1	46	Объект 2	0.6
Месторождение 1	Площадь 1	47	Объект 2	0.6
Месторождение 1	Площадь 1	49	Объект 2	0.5
Месторождение 1	Площадь 1	50	Объект 2	0.6
Месторождение 1	Площадь 1	56	Объект 2	0.5
Месторождение 1	Площадь 1	57	Объект 2	0.6
Месторождение 1	Площадь 1	58	Объект 2	0.6
Месторождение 1	Площадь 1	59	Объект 2	0.5
Месторождение 1	Площадь 1	62	Объект 2	0.5
Месторождение 1	Площадь 1	63	Объект 2	0.5
Месторождение 1	Площадь 1	68	Объект 2	0.6
Месторождение 1	Площадь 1	71	Объект 2	0.5
Месторождение 1	Площадь 1	73	Объект 2	0.5
Месторождение 1	Площадь 1	79	Объект 2	0.5
Месторождение 1	Площадь 1	81	Объект 2	0.6
Месторождение 1	Площадь 1	83	Объект 2	0.6
Месторождение 1	Площадь 1	84	Объект 2	0.5
Месторождение 1	Площадь 1	89	Объект 2	0.6
Месторождение 1	Площадь 1	92	Объект 2	0.6
Месторождение 1	Площадь 1	93	Объект 2	0.5
Месторождение 1	Площадь 1	99	Объект 2	0.6
Месторождение 1	Площадь 1	100	Объект 2	0.6
Месторождение 1	Площадь 1	101	Объект 2	0.5
Месторождение 1	Площадь 1	102	Объект 2	0.6
Месторождение 1	Площадь 1	103	Объект 2	0.6
Месторождение 1	Площадь 1	104	Объект 2	0.5
Месторождение 1	Площадь 1	105	Объект 2	0.6
Месторождение 1	Площадь 1	106	Объект 2	0.5
Месторождение 1	Площадь 1	107	Объект 2	0.6
Месторождение 1	Площадь 1	108	Объект 2	0.5
Месторождение 1	Площадь 1	109	Объект 2	0.6
Месторождение 1	Площадь 1	110	Объект 2	0.6
Месторождение 1	Площадь 1	113	Объект 2	0.5
Месторождение 1	Площадь 1	114	Объект 2	0.5
Месторождение 1	Площадь 1	115	Объект 2	0.6
Месторождение 1	Площадь 1	118	Объект 2	0.6
Месторождение 1	Площадь 1	122	Объект 2	0.5
Месторождение 1	Площадь 1	124	Объект 2	0.6
Месторождение 1	Площадь 1	125	Объект 2	0.6
Месторождение 1	Площадь 1	128	Объект 2	0.5
Месторождение 1	Площадь 1	129	Объект 2	0.6
Месторождение 1	Площадь 1	130	Объект 2	0.5
Месторождение 1	Площадь 1	133	Объект 2	0.5
Месторождение 1	Площадь 1	135	Объект 2	0.6
Месторождение 1	Площадь 1	136	Объект 2	0.6
Месторождение 1	Площадь 1	139	Объект 2	0.6
Месторождение 1	Площадь 1	140	Объект 2	0.6
Месторождение 1	Площадь 1	142	Объект 2	0.5
Месторождение 1	Площадь 1	144	Объект 2	0.5
Месторождение 1	Площадь 1	145	Объект 2	0.5
Месторождение 1	Площадь 1	146	Объект 2	0.5
Месторождение 1	Площадь 1	152	Объект 2	0.5
Месторождение 1	Площадь 1	155	Объект 2	0.5
Месторождение 1	Площадь 1	156	Объект 2	0.6
Месторождение 1	Площадь 1	159	Объект 2	0.6
Месторождение 1	Площадь 1	160	Объект 2	0.6
Месторождение 1	Площадь 1	163	Объект 2	0.5
Месторождение 1	Площадь 1	164	Объект 2	0.5
Месторождение 1	Площадь 1	165	Объект 2	0.6
Месторождение 1	Площадь 1	166	Объект 2	0.5
Месторождение 1	Площадь 1	167	Объект 2	0.5
Месторождение 1	Площадь 1	169	Объект 2	0.6
Месторождение 1	Площадь 1	173	Объект 2	0.6
Месторождение 1	Площадь 1	176	Объект 2	0.6
Месторождение 1	Площадь 1	177	Объект 2	0.6
Месторождение 1	Площадь 1	178	Объект 2	0.6
Месторождение 1	Площадь 1	179	Объект 2	0.6
Месторождение 1	Площадь 1	180	Объект 2	0.6
Месторождение 1	Площадь 1	181	Объект 2	0.5
Месторождение 1	Площадь 1	187	Объект 2	0.5
Месторождение 1	Площадь 1	190	Объект 2	0.6
Месторождение 1	Площадь 1	191	Объект 2	0.5
Месторождение 1	Площадь 1	192	Объект 2	0.6
Месторождение 1	Площадь 1	194	Объект 2	0.5
Месторождение 1	Площадь 1	195	Объект 2	0.5
Месторождение 1	Площадь 1	197	Объект 2	0.6
Месторождение 1	Площадь 1	199	Объект 2	0.6
