Скважина Значение
3 0.7
4 0.7
5 0.7
7 0.8
10 0.7
12 0.8
16 0.7
20 0.7
22 0.8
24 0.7
26 0.7
28 0.7
29 0.7
32 0.8
37 0.8
38 0.7
39 0.8
43 0.7
44 0.7
45 0.7
48 0.7
51 0.7
52 0.8
53 0.7
54 0.8
55 0.7
60 0.8
61 0.8
64 0.8
65 0.7
66 0.8
67 0.8
69 0.8
70 0.8
72 0.8
74 0.8
75 0.8
76 0.7
77 0.8
78 0.8
80 0.7
82 0.7
85 0.7
86 0.7
87 0.8
88 0.7
90 0.8
91 0.7
94 0.7
95 0.7
96 0.8
97 0.7
98 0.7
111 0.8
112 0.8
116 0.8
117 0.7
119 0.7
120 0.8
121 0.7
123 0.8
126 0.8
127 0.7
131 0.7
132 0.8
134 0.7
137 0.8
138 0.7
141 0.7
143 0.8
147 0.7
148 0.8
149 0.8
150 0.7
151 0.8
153 0.7
154 0.8
157 0.8
158 0.8
161 0.8
162 0.7
168 0.8
170 0.8
171 0.8
172 0.8
174 0.7
175 0.8
182 0.8
183 0.7
184 0.7
185 0.7
186 0.8
188 0.7
189 0.8
193 0.8
196 0.8
198 0.8
200 0.7
