Месторождение	Площадь	Скважина	Объект	Значение
Месторождение 1	Площадь 1	1	Объект 2	3
Месторождение 1	Площадь 1	2	Объект 2	2
Месторождение 1	Площадь 1	3	Объект 1	3
Месторождение 1	Площадь 1	4	Объект 1	4
Месторождение 1	Площадь 1	5	Объект 1	5
Месторождение 1	Площадь 1	6	Объект 2	3
Месторождение 1	Площадь 1	7	Объект 1	3
Месторождение 1	Площадь 1	8	Объект 2	2
Месторождение 1	Площадь 1	10	Объект 1	5
Месторождение 1	Площадь 1	12	Объект 1	3
Месторождение 1	Площадь 1	16	Объект 1	4
Месторождение 1	Площадь 1	20	Объект 1	4
Месторождение 1	Площадь 1	22	Объект 1	3
Месторождение 1	Площадь 1	24	Объект 1	4
Месторождение 1	Площадь 1	26	Объект 1	4
Месторождение 1	Площадь 1	28	Объект 1	3
Месторождение 1	Площадь 1	29	Объект 1	3
Месторождение 1	Площадь 1	32	Объект 1	3
Месторождение 1	Площадь 1	37	Объект 1	3
Месторождение 1	Площадь 1	38	Объект 1	3
Месторождение 1	Площадь 1	39	Объект 1	4
Месторождение 1	Площадь 1	43	Объект 1	4
Месторождение 1	Площадь 1	44	Объект 1	5
Месторождение 1	Площадь 1	45	Объект 1	5
Месторождение 1	Площадь 1	48	Объект 1	4
Месторождение 1	Площадь 1	51	Объект 1	5
Месторождение 1	Площадь 1	52	Объект 1	3
Месторождение 1	Площадь 1	53	Объект 1	3
Месторождение 1	Площадь 1	54	Объект 1	3
Месторождение 1	Площадь 1	55	Объект 1	4
Месторождение 1	Площадь 1	60	Объект 1	3
Месторождение 1	Площадь 1	61	Объект 1	5
Месторождение 1	Площадь 1	64	Объект 1	3
Месторождение 1	Площадь 1	65	Объект 1	4
Месторождение 1	Площадь 1	66	Объект 1	3
Месторождение 1	Площадь 1	67	Объект 1	3
Месторождение 1	Площадь 1	69	Объект 1	5
Месторождение 1	Площадь 1	70	Объект 1	5
Месторождение 1	Площадь 1	72	Объект 1	3
Месторождение 1	Площадь 1	74	Объект 1	3
Месторождение 1	Площадь 1	75	Объект 1	4
Месторождение 1	Площадь 1	76	Объект 1	3
Месторождение 1	Площадь 1	77	Объект 1	3
Месторождение 1	Площадь 1	78	Объект 1	4
Месторождение 1	Площадь 1	80	Объект 1	3
Месторождение 1	Площадь 1	82	Объект 1	4
Месторождение 1	Площадь 1	85	Объект 1	5
Месторождение 1	Площадь 1	86	Объект 1	5
Месторождение 1	Площадь 1	87	Объект 1	4
Месторождение 1	Площадь 1	88	Объект 1	5
Месторождение 1	Площадь 1	90	Объект 1	5
Месторождение 1	Площадь 1	91	Объект 1	3
Месторождение 1	Площадь 1	94	Объект 1	5
Месторождение 1	Площадь 1	95	Объект 1	3
Месторождение 1	Площадь 1	96	Объект 1	4
Месторождение 1	Площадь 1	97	Объект 1	5
Месторождение 1	Площадь 1	98	Объект 1	4
Месторождение 1	Площадь 1	111	Объект 1	4
Месторождение 1	Площадь 1	112	Объект 1	5
Месторождение 1	Площадь 1	116	Объект 1	5
Месторождение 1	Площадь 1	117	Объект 1	4
Месторождение 1	Площадь 1	119	Объект 1	4
Месторождение 1	Площадь 1	120	Объект 1	4
Месторождение 1	Площадь 1	121	Объект 1	4
Месторождение 1	Площадь 1	123	Объект 1	3
Месторождение 1	Площадь 1	126	Объект 1	3
Месторождение 1	Площадь 1	127	Объект 1	5
Месторождение 1	Площадь 1	131	Объект 1	4
Месторождение 1	Площадь 1	132	Объект 1	4
Месторождение 1	Площадь 1	134	Объект 1	4
Месторождение 1	Площадь 1	137	Объект 1	5
Месторождение 1	Площадь 1	138	Объект 1	4
Месторождение 1	Площадь 1	141	Объект 1	3
Месторождение 1	Площадь 1	143	Объект 1	5
Месторождение 1	Площадь 1	147	Объект 1	3
Месторождение 1	Площадь 1	148	Объект 1	5
Месторождение 1	Площадь 1	149	Объект 1	4
Месторождение 1	Площадь 1	150	Объект 1	3
Месторождение 1	Площадь 1	151	Объект 1	4
Месторождение 1	Площадь 1	153	Объект 1	4
Месторождение 1	Площадь 1	154	Объект 1	4
Месторождение 1	Площадь 1	157	Объект 1	3
Месторождение 1	Площадь 1	158	Объект 1	5
Месторождение 1	Площадь 1	161	Объект 1	5
Месторождение 1	Площадь 1	162	Объект 1	5
Месторождение 1	Площадь 1	168	Объект 1	3
Месторождение 1	Площадь 1	170	Объект 1	5
Месторождение 1	Площадь 1	171	Объект 1	5
Месторождение 1	Площадь 1	172	Объект 1	4
Месторождение 1	Площадь 1	174	Объект 1	3
Месторождение 1	Площадь 1	175	Объект 1	3
Месторождение 1	Площадь 1	182	Объект 1	4
Месторождение 1	Площадь 1	183	Объект 1	3
Месторождение 1	Площадь 1	184	Объект 1	5
Месторождение 1	Площадь 1	185	Объект 1	5
Месторождение 1	Площадь 1	186	Объект 1	5
Месторождение 1	Площадь 1	188	Объект 1	5
Месторождение 1	Площадь 1	189	Объект 1	4
Месторождение 1	Площадь 1	193	Объект 1	5
Месторождение 1	Площадь 1	196	Объект 1	4
Месторождение 1	Площадь 1	198	Объект 1	4
Месторождение 1	Площадь 1	200	Объект 1	5
Месторождение 1	Площадь 1	9	Объект 2	2
Месторождение 1	Площадь 1	11	Объект 2	3
Месторождение 1	Площадь 1	13	Объект 2	3
Месторождение 1	Площадь 1	14	Объект 2	3
Месторождение 1	Площадь 1	15	Объект 2	2
Месторождение 1	Площадь 1	17	Объект 2	3
Месторождение 1	Площадь 1	18	Объект 2	2
Месторождение 1	Площадь 1	19	Объект 2	2
Месторождение 1	Площадь 1	21	Объект 2	3
Месторождение 1	Площадь 1	23	Объект 2	3
Месторождение 1	Площадь 1	25	Объект 2	2
Месторождение 1	Площадь 1	27	Объект 2	2
Месторождение 1	Площадь 1	30	Объект 2	2
Месторождение 1	Площадь 1	31	Объект 2	2
Месторождение 1	Площадь 1	33	Объект 2	3
Месторождение 1	Площадь 1	34	Объект 2	3
Месторождение 1	Площадь 1	35	Объект 2	2
Месторождение 1	Площадь 1	36	Объект 2	2
Месторождение 1	Площадь 1	40	Объект 2	2
Месторождение 1	Площадь 1	41	Объект 2	3
Месторождение 1	Площадь 1	42	Объект 2	2
Месторождение 1	Площадь 1	46	Объект 2	2
Месторождение 1	Площадь 1	47	Объект 2	2
Месторождение 1	Площадь 1	49	Объект 2	3
Месторождение 1	Площадь 1	50	Объект 2	2
Месторождение 1	Площадь 1	56	Объект 2	2
Месторождение 1	Площадь 1	57	Объект 2	2
Месторождение 1	Площадь 1	58	Объект 2	3
Месторождение 1	Площадь 1	59	Объект 2	3
Месторождение 1	Площадь 1	62	Объект 2	3
Месторождение 1	Площадь 1	63	Объект 2	3
Месторождение 1	Площадь 1	68	Объект 2	3
Месторождение 1	Площадь 1	71	Объект 2	2
Месторождение 1	Площадь 1	73	Объект 2	2
Месторождение 1	Площадь 1	79	Объект 2	3
Месторождение 1	Площадь 1	81	Объект 2	2
Месторождение 1	Площадь 1	83	Объект 2	3
Месторождение 1	Площадь 1	84	Объект 2	2
Месторождение 1	Площадь 1	89	Объект 2	2
Месторождение 1	Площадь 1	92	Объект 2	3
Месторождение 1	Площадь 1	93	Объект 2	2
Месторождение 1	Площадь 1	99	Объект 2	3
Месторождение 1	Площадь 1	100	Объект 2	2
Месторождение 1	Площадь 1	101	Объект 2	2
Месторождение 1	Площадь 1	102	Объект 2	2
Месторождение 1	Площадь 1	103	Объект 2	3
Месторождение 1	Площадь 1	104	Объект 2	2
Месторождение 1	Площадь 1	105	Объект 2	3
Месторождение 1	Площадь 1	106	Объект 2	2
Месторождение 1	Площадь 1	107	Объект 2	3
Месторождение 1	Площадь 1	108	Объект 2	3
Месторождение 1	Площадь 1	109	Объект 2	3
Месторождение 1	Площадь 1	110	Объект 2	3
Месторождение 1	Площадь 1	113	Объект 2	2
Месторождение 1	Площадь 1	114	Объект 2	3
Месторождение 1	Площадь 1	115	Объект 2	2
Месторождение 1	Площадь 1	118	Объект 2	2
Месторождение 1	Площадь 1	122	Объект 2	2
Месторождение 1	Площадь 1	124	Объект 2	2
Месторождение 1	Площадь 1	125	Объект 2	3
Месторождение 1	Площадь 1	128	Объект 2	2
Месторождение 1	Площадь 1	129	Объект 2	2
Месторождение 1	Площадь 1	130	Объект 2	2
Месторождение 1	Площадь 1	133	Объект 2	2
Месторождение 1	Площадь 1	135	Объект 2	2
Месторождение 1	Площадь 1	136	Объект 2	2
Месторождение 1	Площадь 1	139	Объект 2	3
Месторождение 1	Площадь 1	140	Объект 2	3
Месторождение 1	Площадь 1	142	Объект 2	3
Месторождение 1	Площадь 1	144	Объект 2	3
Месторождение 1	Площадь 1	145	Объект 2	2
Месторождение 1	Площадь 1	146	Объект 2	3
Месторождение 1	Площадь 1	152	Объект 2	3
Месторождение 1	Площадь 1	155	Объект 2	2
Месторождение 1	Площадь 1	156	Объект 2	3
Месторождение 1	Площадь 1	159	Объект 2	2
Месторождение 1	Площадь 1	160	Объект 2	2
Месторождение 1	Площадь 1	163	Объект 2	3
Месторождение 1	Площадь 1	164	Объект 2	2
Месторождение 1	Площадь 1	165	Объект 2	2
Месторождение 1	Площадь 1	166	Объект 2	3
Месторождение 1	Площадь 1	167	Объект 2	2
Месторождение 1	Площадь 1	169	Объект 2	3
Месторождение 1	Площадь 1	173	Объект 2	2
Месторождение 1	Площадь 1	176	Объект 2	3
Месторождение 1	Площадь 1	177	Объект 2	2
Месторождение 1	Площадь 1	178	Объект 2	2
Месторождение 1	Площадь 1	179	Объект 2	3
Месторождение 1	Площадь 1	180	Объект 2	3
Месторождение 1	Площадь 1	181	Объект 2	2
Месторождение 1	Площадь 1	187	Объект 2	2
Месторождение 1	Площадь 1	190	Объект 2	3
Месторождение 1	Площадь 1	191	Объект 2	3
Месторождение 1	Площадь 1	192	Объект 2	3
Месторождение 1	Площадь 1	194	Объект 2	3
Месторождение 1	Площадь 1	195	Объект 2	3
Месторождение 1	Площадь 1	197	Объект 2	3
Месторождение 1	Площадь 1	199	Объект 2	2
